"바지","pants","/pænts/","바지","These pants are too long."
"치마","skirt","/skɜːrt/","치마","She wore a blue skirt."
"셔츠","shirt","/ʃɜːrt/","셔츠","He ironed his white shirt."
"코트","coat","/koʊt/","코트","Wear a coat; it is cold."
"재킷","jacket","/ˈdʒækɪt/","재킷","She left her jacket at home."
"스웨터","sweater","/ˈswetər/","스웨터","This wool sweater is warm."
"양말","socks","/sɑːks/","양말","I need a clean pair of socks."
"장갑","gloves","/ɡlʌvz/","장갑","Put on your gloves in winter."
"목도리","scarf","/skɑːrf/","목도리","She wrapped a scarf around her neck."
"넥타이","tie","/taɪ/","넥타이","He straightened his tie."
"지갑","wallet","/ˈwɑːlɪt/","지갑","I left my wallet at home."
"반지","ring","/rɪŋ/","반지","She wears a gold ring."
"목걸이","necklace","/ˈnekləs/","목걸이","The necklace looks lovely on you."
"단추","button","/ˈbʌtən/","단추","A button fell off my shirt."

"쌀","rice","/raɪs/","쌀 (곡식)","We store rice in a jar."
"밀가루","flour","/ˈflaʊər/","밀가루","Mix the flour with water."
"콩","bean","/biːn/","콩","Beans are full of protein."
"옥수수","corn","/kɔːrn/","옥수수","We grilled some corn."
"오이","cucumber","/ˈkjuːkʌmbər/","오이","Slice the cucumber thinly."
"배추","cabbage","/ˈkæbɪdʒ/","배추","Kimchi is made from cabbage."
"상추","lettuce","/ˈletɪs/","상추","Wrap the meat in lettuce."
"버섯","mushroom","/ˈmʌʃruːm/","버섯","She added mushrooms to the soup."
"토마토","tomato","/təˈmeɪtoʊ/","토마토","This tomato is fresh and red."
"호박","pumpkin","/ˈpʌmpkɪn/","호박","We carved a pumpkin."
"김","seaweed","/ˈsiːwiːd/","김 (구운 김)","Rice with seaweed is tasty."
"새우","shrimp","/ʃrɪmp/","새우","We ordered fried shrimp."
"게","crab","/kræb/","게","The crab walked sideways."
"오징어","squid","/skwɪd/","오징어","Grilled squid is popular here."
"소고기","beef","/biːf/","소고기","This beef is very fresh."
"돼지고기","pork","/pɔːrk/","돼지고기","We had pork for dinner."
"고추","chili pepper","/ˈtʃɪli ˈpepər/","고추","This chili pepper is very hot."
"된장","soybean paste","/ˈsɔɪbiːn peɪst/","된장","Soybean paste soup is healthy."
"꿀","honey","/ˈhʌni/","꿀","Add honey to your tea."
"식초","vinegar","/ˈvɪnɪɡər/","식초","Add a spoon of vinegar."

"부엌","kitchen","/ˈkɪtʃən/","부엌","The kitchen smells wonderful."
"화장실","bathroom","/ˈbæθruːm/","화장실","Where is the bathroom?"
"거실","living room","/ˈlɪvɪŋ ruːm/","거실","We watch TV in the living room."
"수건","towel","/ˈtaʊəl/","수건","Dry your hands with the towel."
"비누","soap","/soʊp/","비누","Wash your hands with soap."
"칫솔","toothbrush","/ˈtuːθbrʌʃ/","칫솔","I need a new toothbrush."
"치약","toothpaste","/ˈtuːθpeɪst/","치약","Put some toothpaste on the brush."
"샴푸","shampoo","/ʃæmˈpuː/","샴푸","This shampoo smells nice."
"휴지","tissue","/ˈtɪʃuː/","휴지","Pass me a tissue, please."
"냄비","pot","/pɑːt/","냄비","Boil the water in the pot."
"가위","scissors","/ˈsɪzərz/","가위","Cut the paper with scissors."
"쓰레기","trash","/træʃ/","쓰레기","Please take out the trash."

"핸드폰","cellphone","/ˈselfoʊn/","핸드폰, 휴대폰","My cellphone is out of battery."
"노트북","laptop","/ˈlæptɑːp/","노트북","She typed on her laptop."
"카메라","camera","/ˈkæmərə/","카메라","He bought a new camera."
"이어폰","earphones","/ˈɪrfoʊnz/","이어폰","I listen to music with earphones."
"화면","screen","/skriːn/","화면","The screen is too bright."
"배터리","battery","/ˈbætəri/","배터리","The battery is almost dead."
"충전기","charger","/ˈtʃɑːrdʒər/","충전기","I forgot my charger."
"인터넷","internet","/ˈɪntərnet/","인터넷","The internet is slow today."
"이메일","email","/ˈiːmeɪl/","이메일","I sent you an email."
"메시지","message","/ˈmesɪdʒ/","메시지","She left me a message."
"비밀번호","password","/ˈpæswɜːrd/","비밀번호","I forgot my password."

"건강","health","/helθ/","건강","Health is more important than money."
"병","disease","/dɪˈziːz/","병 (질병)","He is fighting a serious disease."
"감기","cold","/koʊld/","감기","I caught a cold yesterday."
"열","fever","/ˈfiːvər/","열 (몸의 열)","The child has a high fever."
"기침","cough","/kɔːf/","기침","She has a bad cough."
"약","medicine","/ˈmedɪsən/","약","Take this medicine twice a day."
"상처","wound","/wuːnd/","상처","Clean the wound carefully."
"잠","sleep","/sliːp/","잠","I did not get enough sleep."
"숨","breath","/breθ/","숨","Take a deep breath."
"땀","sweat","/swet/","땀","He wiped the sweat from his face."
"눈물","tears","/tɪrz/","눈물","Tears ran down her cheeks."
