"사과","apple","/ˈæpəl/","사과","An apple a day keeps the doctor away."
"바나나","banana","/bəˈnænə/","바나나","I ate a banana for breakfast."
"포도","grape","/ɡreɪp/","포도","These grapes are very sweet."
"딸기","strawberry","/ˈstrɔːbəri/","딸기","She likes strawberry ice cream."
"수박","watermelon","/ˈwɔːtərmelən/","수박","Watermelon is perfect in summer."
"오렌지","orange","/ˈɔːrɪndʒ/","오렌지","I drink orange juice every morning."
"레몬","lemon","/ˈlemən/","레몬","Add a slice of lemon to the water."
"복숭아","peach","/piːtʃ/","복숭아","This peach is soft and sweet."
"과일","fruit","/fruːt/","과일","Fresh fruit is good for you."
"채소","vegetable","/ˈvedʒtəbəl/","채소, 야채","Eat more vegetables every day."
"빵","bread","/bred/","빵","I bought some fresh bread."
"밥","rice","/raɪs/","밥, 쌀밥","We eat rice every day."
"국","soup","/suːp/","국, 수프","The soup is still hot."
"라면","ramen","/ˈrɑːmən/","라면","He cooked ramen for dinner."
"국수","noodles","/ˈnuːdəlz/","국수, 면","I love warm noodles in winter."
"고기","meat","/miːt/","고기","This meat is very tender."
"생선","fish","/fɪʃ/","생선 (음식)","We had grilled fish for dinner."
"계란","egg","/eɡ/","계란, 달걀","I had two eggs for lunch."
"김치","kimchi","/ˈkɪmtʃiː/","김치","Kimchi is a Korean side dish."
"두부","tofu","/ˈtoʊfuː/","두부","She added tofu to the soup."
"감자","potato","/pəˈteɪtoʊ/","감자","We baked some potatoes."
"고구마","sweet potato","/swiːt pəˈteɪtoʊ/","고구마","Roasted sweet potatoes are delicious."
"당근","carrot","/ˈkærət/","당근","Rabbits love carrots."
"양파","onion","/ˈʌnjən/","양파","Cutting onions makes me cry."
"마늘","garlic","/ˈɡɑːrlɪk/","마늘","Korean food uses a lot of garlic."
"설탕","sugar","/ˈʃʊɡər/","설탕","Add a little sugar to the tea."
"소금","salt","/sɔːlt/","소금","The soup needs more salt."
"기름","oil","/ɔɪl/","기름","Heat the oil in the pan."
"물","water","/ˈwɔːtər/","물","Can I have some water?"
"우유","milk","/mɪlk/","우유","He drinks milk every morning."
"커피","coffee","/ˈkɔːfi/","커피","I need a cup of coffee."
"주스","juice","/dʒuːs/","주스","She poured a glass of juice."
"차","tea","/tiː/","차 (마시는 차)","Would you like some tea?"
"차","car","/kɑːr/","차 (자동차)","My car is parked outside."
"술","alcohol","/ˈælkəhɔːl/","술","He does not drink alcohol."
"맥주","beer","/bɪr/","맥주","They shared a cold beer."
"과자","snack","/snæk/","과자, 간식","The kids ate some snacks."
"사탕","candy","/ˈkændi/","사탕","The child wants some candy."
"초콜릿","chocolate","/ˈtʃɔːklət/","초콜릿","She gave me a box of chocolate."
"케이크","cake","/keɪk/","케이크","We cut the birthday cake."
"떡","rice cake","/raɪs keɪk/","떡","We eat rice cakes on holidays."

"개","dog","/dɔːɡ/","개","The dog is barking loudly."
"고양이","cat","/kæt/","고양이","My cat sleeps all day."
"새","bird","/bɜːrd/","새","A bird is singing outside."
"물고기","fish","/fɪʃ/","물고기","Fish live in the water."
"말","horse","/hɔːrs/","말 (동물)","The horse runs very fast."
"말","word","/wɜːrd/","말 (언어)","That is a difficult word."
"소","cow","/kaʊ/","소","The cow is eating grass."
"돼지","pig","/pɪɡ/","돼지","The pig is very big."
"닭","chicken","/ˈtʃɪkɪn/","닭","The chicken laid an egg."
"토끼","rabbit","/ˈræbɪt/","토끼","The rabbit has long ears."
"호랑이","tiger","/ˈtaɪɡər/","호랑이","The tiger is a wild animal."
"곰","bear","/ber/","곰","The bear lives in the forest."
"사자","lion","/ˈlaɪən/","사자","The lion is the king of animals."
"코끼리","elephant","/ˈeləfənt/","코끼리","The elephant has a long trunk."
"원숭이","monkey","/ˈmʌŋki/","원숭이","The monkey climbed the tree."
"뱀","snake","/sneɪk/","뱀","A snake slid through the grass."
"개구리","frog","/frɔːɡ/","개구리","The frog jumped into the pond."
"거미","spider","/ˈspaɪdər/","거미","A spider spun a web."
"벌","bee","/biː/","벌","A bee landed on the flower."
"나비","butterfly","/ˈbʌtərflaɪ/","나비","A butterfly flew by."

"하늘","sky","/skaɪ/","하늘","The sky is blue today."
"바다","sea","/siː/","바다","We swam in the sea."
"산","mountain","/ˈmaʊntən/","산","They climbed the mountain."
"강","river","/ˈrɪvər/","강","The river flows to the sea."
"호수","lake","/leɪk/","호수","The lake is calm and clear."
"섬","island","/ˈaɪlənd/","섬","They live on a small island."
"나무","tree","/triː/","나무","There is a tall tree in the yard."
"꽃","flower","/ˈflaʊər/","꽃","She gave me a flower."
"풀","grass","/ɡræs/","풀","The grass is green and soft."
"잎","leaf","/liːf/","잎","A yellow leaf fell down."
"숲","forest","/ˈfɔːrɪst/","숲","We walked through the forest."
"눈","snow","/snoʊ/","눈 (날씨)","It is snowing outside."
"눈","eye","/aɪ/","눈 (신체)","Please close your eyes."
"비","rain","/reɪn/","비","It will rain tomorrow."
"바람","wind","/wɪnd/","바람","The wind is strong today."
"구름","cloud","/klaʊd/","구름","White clouds float in the sky."
"불","fire","/ˈfaɪər/","불","The fire keeps us warm."
"돌","stone","/stoʊn/","돌","He threw a stone into the pond."
"모래","sand","/sænd/","모래","The children played in the sand."
"별","star","/stɑːr/","별","The stars are bright tonight."
"달","moon","/muːn/","달","The moon is full tonight."
"해","sun","/sʌn/","해, 태양","The sun rises in the east."
"얼음","ice","/aɪs/","얼음","The ice is melting fast."
"무지개","rainbow","/ˈreɪnboʊ/","무지개","A rainbow appeared after the rain."

"봄","spring","/sprɪŋ/","봄","Flowers bloom in spring."
"여름","summer","/ˈsʌmər/","여름","Summer is very hot here."
"가을","autumn","/ˈɔːtəm/","가을","Leaves fall in autumn."
"겨울","winter","/ˈwɪntər/","겨울","Winter is cold and snowy."
"날씨","weather","/ˈweðər/","날씨","The weather is nice today."
"계절","season","/ˈsiːzən/","계절","My favorite season is spring."

"머리","head","/hed/","머리","My head hurts a little."
"머리카락","hair","/her/","머리카락","She has long black hair."
"얼굴","face","/feɪs/","얼굴","He has a kind face."
"코","nose","/noʊz/","코","The dog has a wet nose."
"입","mouth","/maʊθ/","입","Open your mouth, please."
"귀","ear","/ɪr/","귀","He whispered in my ear."
"목","neck","/nek/","목","My neck feels stiff."
"어깨","shoulder","/ˈʃoʊldər/","어깨","He carried the bag on his shoulder."
"팔","arm","/ɑːrm/","팔","She held the baby in her arms."
"손","hand","/hænd/","손","Please wash your hands."
"손가락","finger","/ˈfɪŋɡər/","손가락","She pointed with her finger."
"다리","leg","/leɡ/","다리 (신체)","She hurt her leg."
"다리","bridge","/brɪdʒ/","다리 (구조물)","We crossed the old bridge."
"무릎","knee","/niː/","무릎","He fell and hurt his knee."
"발","foot","/fʊt/","발","My foot is cold."
"배","stomach","/ˈstʌmək/","배 (신체)","My stomach hurts."
"배","pear","/per/","배 (과일)","This pear is very juicy."
"배","ship","/ʃɪp/","배 (선박)","The ship sailed away slowly."
"가슴","chest","/tʃest/","가슴","He felt a pain in his chest."
"등","back","/bæk/","등 (신체)","My back hurts after work."
"피","blood","/blʌd/","피","There was blood on the bandage."
"뼈","bone","/boʊn/","뼈","The dog buried a bone."
"심장","heart","/hɑːrt/","심장","My heart beats fast."

"사람","person","/ˈpɜːrsən/","사람","She is a very kind person."
