"카지노","casino","","춤이나 음악 등의 오락 시설과 함께 룰렛이나 카드놀이 등의 돈내기 게임 시설을 갖춘 도박장.",""
"카키색","khaki","","주로 군복에 많이 쓰는, 탁하고 누런 갈색.",""
"카타르","Qatar","","아라비아반도의 동부에 있는 나라. 국토 대부분이 사막으로 주요 생산물로는 석유, 천연가스 등이 있다. 주요 언어는 아라비아어이고 수도는 도하이다.",""
"카타르시스","catharsis","","비극을 보거나 읽어서 마음에 쌓여 있던 우울함, 불안감, 슬픔 등이 사라지고 마음이 깨끗해지는 일.",""
"카탈로그","catalog","","광고를 하기 위해 그림과 설명을 넣어 작은 책 모양으로 꾸민 상품의 안내서.",""
"카테고리","category; class","","같은 성질을 가진 부류나 범위.",""
"카투사","KATUSA; Korean Augmentation to the United States Army","","한국에 머무르고 있는 미국 육군에 소속된 한국 군인.",""
"카페인","caffeine","","커피나 찻잎 등에 들어 있고 신경을 흥분시키며 많이 먹으면 중독이 되는, 쓴맛이 나는 무색 고체.",""
"카페테리아","cafeteria","","손님이 자신이 주문한 음식을 직접 식탁으로 날라다 먹는 식당.",""
"카펫","carpet; rug","","양털 등의 털로 겉면에 보푸라기가 일게 짠 두꺼운 모직물.",""
"카폰","car phone","","자동차 안에 설치하여 운전 중에도 통화할 수 있는 무선 전화.",""
"카피","copy; duplicate; photocopy","","어떤 문서와 모양이 똑같게 베끼거나 그리거나 인쇄함.",""
"칵","in a choking sound","","목구멍에 걸린 것을 입 밖으로 힘 있게 뱉는 소리.",""
"칵테일","cocktail","","독한 양주에 과즙이나 설탕 등을 넣고 얼음과 함께 섞은 술.",""
"칸","box; partition; cell; car","","건물, 기차 안, 책장 등을 용도에 따라 일정한 크기나 모양으로 나누어 둘러 막은 공간.",""
"칸막이","setting up a divider; partition; divider; screen","","둘러싸인 공간의 사이를 막음. 또는 그렇게 막은 물건.",""
"칸칸이","room by room; cell by cell","","각각의 칸마다.",""
"칼국수","kalguksu","","밀가루 반죽을 얇게 밀고 칼로 가늘게 썰어서 만든 국수. 또는 그것을 넣어 끓인 음식.",""
"칼끝","sword tip; knife tip","","칼날의 맨 끝.",""
"칼날","blade","","무엇을 베는, 칼의 얇고 날카로운 부분.",""
"칼라","collar","","양복이나 셔츠 등의 목둘레에 길게 덧붙여진 천.",""
"칼럼","column","","신문, 잡지 등에서 하나의 주제에 대하여 짧게 평을 해 놓은 글.",""
"칼럼니스트","columnist","","신문이나 잡지에 칼럼을 쓰는 사람.",""
"칼로리","calorie","","열량의 단위.",""
"칼로리","heat value; amount of heat","","음식이나 연료 등으로 얻을 수 있는 에너지의 양.",""
"칼륨","potassium; kalium","","이온으로서 나트륨과 함께 체내의 수분 양과 산이나 알칼리 균형을 조절하는 알칼리 금속 원소의 하나.",""
"칼바람","cold wind; icy blast","","몹시 차고 매서운 바람.",""
"칼부림","wielding a sword","","남을 해치려고 칼을 함부로 휘두름. 또는 그런 일.",""
"칼슘","calcium","","은백색의 연한 금속으로, 동물의 이와 뼈를 이루는 원소.",""
"칼싸움","fighting with swords","","칼을 휘두르며 하는 싸움.",""
"칼자루","knife handle","","칼을 안전하게 쥘 수 있도록 칼의 한쪽 끝에 달린 손잡이.",""
"칼잡이","shiv artist","","(낮잡아 이르는 말로) 칼을 잘 쓰는 사람.",""
"칼질","cutting","","칼로 무엇을 베거나 깎거나 써는 일.",""
"칼질하다","cut","","칼로 무엇을 베거나 깎거나 썰다.",""
"칼집","cut mark on food","","음식을 만들 때 재료를 칼로 가볍게 베어서 낸 틈.",""
"칼집","sheath","","칼날을 보호하기 위해 칼의 몸을 꽂아 넣어 두도록 만든 물건.",""
"칼춤","sword dance","","칼을 들고 추는 춤.",""
"칼칼하다","thirsty","","목이 말라서 물이나 술 등을 마시고 싶은 느낌이 있다.",""
"캄보디아","Cambodia","","동남아시아 인도차이나반도의 남서부에 있는 나라. 주산업은 농업으로, 쌀과 고무 등이 많이 난다. 공용어는 크메르어이고 수도는 프놈펜이다.",""
"캄캄하다","very dark; pitch-dark","","잘 보이지 않을 정도로 매우 어둡다.",""
"캐나다","Canada","","북아메리카 대륙의 북부에 있는 나라. 러시아에 이어 세계에서 두 번째로 넓은 나라로 공업과 수산업이 발달했으며, 주요 생산물로는 밀, 금, 구리, 아연 등이 있다. 공용어는 영어와 프랑스어이고 수도는 오타와이다.",""
"캐다","dig up","","땅속에 묻힌 것을 파서 꺼내다.",""
"캐러멜","caramel","","물엿, 설탕, 우유, 초콜릿 등을 섞은 뒤 바닐라 등의 향료를 넣고 졸인 뒤 굳힌 사탕의 하나.",""
"캐럴","carol","","성탄절을 축하하는 내용을 담은 노래.",""
"캐럿","carat","","보석의 무게를 재는 단위.",""
"캐릭터","character","","소설, 만화, 연극, 영화 등에 등장하는 인물. 또는 작품 내용 속에서 드러나는 인물의 개성과 이미지.",""
"캐묻다","question closely; interrogate; grill","","자세히 끈질기게 묻다.",""
"캐미솔","camisole","","가슴에서 허리 아래까지 오는, 소매가 없는 여성용 속옷.",""
"캐비닛","cabinet","","사무용품이나 서류 등을 넣어 보관하는 장.",""
"캐스터","news presenter; news broadcaster; news anchor","","텔레비전 보도 프로그램의 진행을 맡은 사람.",""
"캐스터네츠","castanets","","두 짝의 나무나 상아 등을 끈으로 매어 서로 맞부딪히게 하여 소리를 내는 타악기.",""
"캐스팅","casting","","연극이나 영화 등에서 배역을 맡을 배우를 정하는 일.",""
"캐스팅되다","be cast","","연극이나 영화 등에서 배역을 맡을 배우가 정해지다.",""
"캐스팅하다","cast","","연극이나 영화 등에서 배역을 맡을 배우를 정하다.",""
"캐어묻다","question closely; interrogate; grill","","자세히 끈질기게 묻다.",""
"캑캑","gak; gasp","","숨이 막히는 듯이 여러 번 계속 목청에서 간신히 짜내는 소리.",""
"캑캑거리다","choke; gasp; make a choking sound","","목에 무엇이 걸리거나 숨이 막혀서 계속 ‘캑캑’ 소리를 내다.",""
"캑캑대다","choke; gasp; make a choking sound","","목에 무엇이 걸리거나 숨이 막혀서 계속 ‘캑캑’ 소리를 내다.",""
"캑캑하다","choke; gasp; make a choking sound","","목에 무엇이 걸리거나 숨이 막혀서 ‘캑캑’ 소리를 내다.",""
